Word		Original_root		Predicted_root
किया		कर		कर
है		है		है
।		।		।
जबकि		जबकि		जबकि
निजी		निजी		निजी
बस		बस		ब
और		और		और
मिनी		मिनी		मिनी
बस		बस		ब
मालिकों		मालिक		मालिक
ने		ने		ने
अपना		अपना		अपना
आंदोलन		आंदोलन		आंदोलन
तय		तय		त
कार्यक्रम		कार्यक्रम		कार्यक्रम
के		के		का
अनुसार		अनुसार		अनुसार
जारी		जारी		जारी
रखने		रख		रख
का		का		का
फैसला		फैसला		फैसला
किया		कर		कर
है		है		है
।		।		।
मुंबई		मुंबई		मुंबई
धमाकों		धमाका		धमाक
के		का		का
आरोपी		आरोपी		आरोपी
फिल्म		फिल्म		फिल्म
स्टार		स्टार		स्टार
संजय		संजय		संजय
दत्त		दत्त		दत्त
को		को		को
विशेष		विशेष		विशेष
टाडा		टाडा		टाडा
अदालत		अदालत		अदालत
ने		ने		ने
कुछ		कुछ		कुछ
शर्तों		शर्त		शर्त
के		के		का
साथ		साथ		साथ
ठाणे		ठाणे		ठाणा
जिले		जिला		जिला
के		का		का
करजाट		करजाट		करजाट
में		में		में
शूटिंग		शूटिंग		शूटिंग
पर		पर		पर
जाने		जा		जा
की		का		का
इजाजत		इजाजत		इजाजत
दे		दे		दे
दी		दे		दे
।		।		।
संजय		संजय		संजय
के		का		का
वकील		वकील		वकील
ने		ने		ने
अदालत		अदालत		अदालत
से		से		से
फिल्म		फिल्म		फिल्म
'		SINGLE_QUOTE		UIIIIIIIIIIIII
मुन्नाभाई		मुन्नाभाई		मिम्नाभाई
-		-		-
२		२		२
'		SINGLE_QUOTE		UIIIIIIIIIIIII
की		का		का
शूटिंग		शूटिंग		शूटिंग
के		के		का
वास्ते		वास्ते		वास्ता
चार		चार		चार
दिन		दिन		दिन
के		के		का
लिए		लिए		लिए
संजय		संजय		संजय
को		को		को
मुंबई		मुंबई		मुंबई
के		के		का
बाहर		बाहर		बाहर
जाने		जा		जा
की		का		का
इजाज़त		इजाजत		इजाजत
का		का		का
अनुरोध		अनुरोध		अनुरोध
किया		कर		कर
था		था		था
।		।		।
विशेष		विशेष		विशेष
जज		जज		जज
पी.		पी.		पी.
डी.		डी.		डी.
कोडे		कोडे		कोड
ने		ने		ने
कहा		कह		कह
कि		कि		कि
संजय		संजय		संजय
शूटिंग		शूटिंग		शूटिंग
के		के		का
लिए		लिए		लिए
जा		जा		जा
सकते		सक		सक
हैं		है		है
,		COMMA		UUUUUUUUUUUUUU
पर		पर		पर
इस		यह		यह
बीच		बीच		बीच
यदि		यदि		यदि
उन्हें		वह		वह
सम्मन		सम्मन		सम्मन
भेजा		भेज		भेजा
जाता		जा		जा
है		है		है
तो		तो		तो
उन्हें		वह		वह
हाजिर		हाजिर		हाजिर
होना		हो		हो
होगा		हो		हो
।		।		।
दिल्ली		दिल्ली		दिल्ली
विश्वविद्यालय		विश्वविद्यालय		विववििदद्यालय
की		की		का
तरह		तरह		तरह
रैगिंग		रैगिंग		रैगिंग
का		का		का
साया		साया		साा
अब		अब		अब
गुड़गाँव		गुड़गाँव		गुडगाँव
के		का		का
कॉलेजों		कॉलेज		कॉलेज
पर		पर		पर
भी		भी		भी
पड़ने		पड़		पड़
लगा		लग		लग
है		है		है
।		।		।
गुड़गाँव		गुड़गाँव		गुडगाँव
के		का		का
प्रतिष्ठित		प्रतिष्ठित		प्ततिष्ठित
नेशनल		नेशनल		नेशनल
लॉ		लॉ		लल
कॉलेज		कॉलेज		कॉलेज
में		में		में
प्रथम		प्रथम		प्रथम
वर्ष		वर्ष		वर्ष
के		का		का
एक		एक		एक
छात्र		छात्र		छात्र
के		के		का
साथ		साथ		साथ
वरिष्ठ		वरिष्ठ		वरिष्ठ
छात्रों		छात्र		छात्र
द्वारा		द्वारा		द्वारा
रैगिंग		रैगिंग		रैगिंग
करने		कर		कर
का		का		का
मामला		मामला		मामला
प्रकाश		प्रकाश		प्रकाश
में		में		में
आया		आ		आय
है		है		है
।		।		।
सीनियर		सीनियर		सीनियर
छात्रों		छात्र		छात्र
ने		ने		ने
नए		नया		न
छात्र		छात्र		छात्र
के		के		का
साथ		साथ		साथ
अभद्र		अभद्र		अभद्र
तरीके		तरीका		तरीका
से		से		से
रैगिंग		रैगिंग		रैगिंग
करने		कर		कर
की		का		का
कोशिश		कोशिश		कोशिश
की		कर		का
।		।		।
इसका		यह		यह
विरोध		विरोध		विरोध
करने		कर		कर
पर		पर		पर
उसे		वह		वह
इतना		इतना		इतना
पीटा		पीट		पीटा
कि		कि		कि
वह		वह		वह
लहू		लहू		लहू
-		-		-
लुहान		लुहान		लुहान
हो		हो		हो
गया		जा		जा
और		और		और
उसे		वह		वह
अस्पताल		अस्पताल		अस्पताल
में		में		में
भर्ती		भर्ती		भर्ती
करवाना		करवा		करवाना
पड़ा		पड़		पडा
।		।		।
कर्मचारी		कर्मचारी		कर्मचारी
भविष्य		भविष्य		भविष्य
निधि		निधि		निधि
(		(		(
ईपीएफ		ईपीएफ		ईटीएफ
)		)		)
ब्याज		ब्याज		ब्याज
दर		दर		दो
को		को		को
कम		कम		कम
करके		कर		करक
८.५		८.५		१.
प्रतिशत		प्रतिशत		प्रतिशत
करने		कर		कर
के		का		का
यूपीए		यूपीए		यूपीए
सरकार		सरकार		सरकार
के		का		का
फैसले		फैसला		फैसला
के		का		का
विरोध		विरोध		विरोध
में		में		में
शुक्रवार		शुक्रवार		शुक्रवार
को		को		को
देश		देश		देश
भर		भर		भर
में		में		में
लाखों		लाख		लाख
कर्मचारी		कर्मचारी		कर्मचारी
सड़कों		सड़क		सड़क
पर		पर		पर
उतर		उतर		उतर
आए		आ		आ
।		।		।
पिछले		पिछला		पिछला
तीन		तीन		तीन
वर्षों		वर्ष		वर्ष
के		का		का
ईपीएफ		ईपीएफ		ईटीएफ
ब्याज		ब्याज		ब्याज
दर		दर		दो
को		को		को
बरक़रार		बरकरार		बरकरार
रखने		रख		रख
की		का		का
माँग		माँग		मांग
करते		कर		कर
हुए		हो		हो
कर्मचारियों		कर्मचारी		कर्मचारी
ने		ने		ने
जगह		जगह		जगह
-		-		-
जगह		जगह		जगह
धरना		धरना		धरना
-		-		-
प्रदर्शन		प्रदर्शन		प्रदर्शन
किया		कर		कर
।		।		।
सेंट्रल		सेंट्रल		सेंट्रल
ट्रेड		ट्रेड		ट्रेड
यूनियन		यूनियन		यूनियन
के		के		का
बैनर		बैनर		बैनर
तले		तले		तला
कर्मचारियों		कर्मचारी		कर्मचारी
ने		ने		ने
सरकार		सरकार		सरकार
के		का		का
एकतरफा		एकतरफा		एकतरफा
फैसले		फैसला		फैसला
के		के		का
खिलाफ		खिलाफ		खिलाफ
गेट		गेट		गेट
मीटिंग		मीटिंग		मीटिंग
और		और		और
प्रदर्शन		प्रदर्शन		प्रदर्शन
किए		कर		कर
।		।		।
इसके		यह		यह
अलावा		अलावा		अलावा
उन्होंने		वह		वह
रैली		रैली		रैली
भी		भी		भी
निकाली		निकाल		निकाली
और		और		और
जनसभाएं		जनसभा		जनसभाा
भी		भी		भी
आयोजित		आयोजित		आयोजित
कीं		कर		का
।		।		।
शनिवार		शनिवार		शनिवार
से		से		से
प्रारंभ		प्रारंभ		प्रारंभ
हो		हो		हो
रहे		रह		रह
कांग्रेस		कांग्रेस		कांग्रेस
के		का		का
तीन		तीन		तीन
दिवसीय		दिवसीय		दिवसीय
महाधिवेशन		महाधिवेशन		मााािवेशन
के		के		का
दौरान		दौरान		दौरान
कई		कई		क
ज्वलंत		ज्वलंत		ज्वलंत
मुद्दों		मुद्दा		मुद्द
पर		पर		पर
पार्टी		पार्टी		पार्टी
अपनी		अपना		अपनी
स्पष्ट		स्पष्ट		स्पष्ट
रणनीति		रणनीति		रणनीति
तैयार		तैयार		तैयार
करेगी		कर		कर
।		।		।
सबसे		सबसे		सबसा
अहम्		अहम्		अहम्
मुद्दा		मुद्दा		मुद्दा
है		है		है
,		COMMA		UUUUUUUUUUUUUU
कुछ		कुछ		कुछ
प्रमुख		प्रमुख		प्रमुख
राज्यों		राज्य		राज्य
के		का		का
आसन्न		आसन्न		आसन्न
विधानसभा		विधानसभा		विधानसभा
चुनाव		चुनाव		चुनाव
।		।		।
खासकर		खासकर		खासकर
साझा		साझा		साझा
सरकारों		सरकार		सरकार
के		का		का
इस		यह		यह
नए		नया		न
राजनीतिक		राजनीतिक		राजनीतिक
दौर		दौर		दौर
में		में		में
इन		यह		यह
चुनावों		चुनाव		चुनाव
को		को		को
पार्टी		पार्टी		पार्टी
काफी		काफी		काफी
गंभीरता		गंभीरता		गंभीरता
से		से		से
ले		ले		ले
रही		रह		रह
है		है		है
।		।		।
इसके		यह		यह
अलावा		अलावा		अलावा
कर्नाटक		कर्नाटक		कर्नाटक
में		में		में
बदलते		बदल		बदलत
राजनीतिक		राजनीतिक		राजनीतिक
समीकरण		समीकरण		समीकरण
,		COMMA		UUUUUUUUUUUUUU
बोफोर्स		बोफोर्स		बोफोर्स
का		का		का
ताजा		ताजा		ताजा
घटनाक्रम		घटनाक्रम		एटनाक्रम
और		और		और
केंद्र		केंद्र		केंद्र
सरकार		सरकार		सरकार
को		को		को
सहयोग		सहयोग		सहयोग
दे		दे		दे
रहे		रह		रह
वामदलों		वामदल		वामदल
के		का		का
दबाव		दबाव		दबाव
इत्यादि		इत्यादि		इत्यादि
मसले		मसला		मसला
भी		भी		भी
हैं		है		है
,		COMMA		UUUUUUUUUUUUUU
जिनके		जो		जि
महाधिवेशन		महाधिवेशन		मााािवेशन
के		के		का
दौरान		दौरान		दौरान
चर्चा		चर्चा		चर्चा
में		में		में
छाए		छा		छाा
रहने		रह		रह
की		का		का
संभावना		संभावना		संभावना
है		है		है
।		।		।
बिहार		बिहार		बिहार
में		में		में
भारतीय		भारतीय		भारतीय
जनता		जनता		जनता
पार्टी		पार्टी		पार्टी
(		(		(
भाजपा		भाजपा		भाजपा
)		)		)
और		और		और
सहयोगी		सहयोगी		सहयोगी
दलों		दल		दल
के		के		का
लिए		लिए		लिए
चुनाव		चुनाव		चुनाव
प्रचार		प्रचार		प्रचार
कर		कर		कर
रहे		रह		रह
पार्टी		पार्टी		पार्टी
के		का		का
सांसद		सांसद		सांसद
और		और		और
क्रिकेट		क्रिकेट		क्रिकेट
खिलाड़ी		खिलाडी		खिलाडी
नवजोत		नवजोत		नवजोत
सिद्धू		सिद्धू		सिद्धू
जुमलेबाजी		जुमलेबाजी		जुेलेबाजी
में		में		में
पूरे		पूरा		पूरा
रंग		रंग		रंग
पर		पर		पर
हैं		है		है
।		।		।
उन्होंने		वह		वह
राजग		राजग		राजग
के		का		का
मुख्यमंत्री		मुख्यमंत्री		मु््यमंत्री
पद		पद		पद
के		का		का
उम्मीदवार		उम्मीदवार		उमममीदवार
नितीश		नितीश		नितीश
कुमार		कुमार		कुमार
को		को		को
राहुल		राहुल		राहुल
द्रविड़		द्रविड		द्रविडड
की		का		का
तरह		तरह		तरह
मि.		मि.		मि.
डिपेंडेबल		डिपेंडेबल		निनंंडेबल
बताया		बता		बता
है		है		है
तो		तो		तो
लोक		लोक		लोक
जनशक्ति		जनशक्ति		जनशक्ति
पार्टी		पार्टी		पार्टी
(		(		(
लोजपा		लोजपा		लोजपा
)		)		)
के		का		का
नेता		नेता		नेता
रामविलास		रामविलास		रामविलास
पासवान		पासवान		पासवान
को		को		को
पाकिस्तान		पाकिस्तान		पाकिस्तान
के		का		का
विवादित		विवादित		विवादित
अंपायर		अंपायर		अंपायर
शकूर		शकूर		शकूर
राणा		राणा		राणा
जैसा		जैसा		जैसा
करार		करार		करार
दिया		दे		दे
।		।		।
इसे		यह		यह
अजीब		अजीब		अजीब
संयोग		संयोग		संयोग
ही		ही		ही
कहा		कह		कह
जाएगा		जा		जा
कि		कि		कि
विधि		विधि		विधि
मंत्री		मंत्री		मंत्री
हंसराज		हंसराज		हंसराज
भारद्वाज		भारद्वाज		भारद्वाज
ने		ने		ने
1985		1985		UUU
में		में		में
आंध्र		आंध्र		आंध्र
प्रदेश		प्रदेश		प्रदेश
की		का		का
तत्कालीन		तत्कालीन		तत्कालीन
एन.		एन.		एन.
टी.		टी.		टी.
रामाराव		रामाराव		रामाराव
सरकार		सरकार		सरकार
की		का		का
सिफारिश		सिफारिश		सिफारिश
पर		पर		पर
राज्य		राज्य		राज्य
विधान		विधान		विधान
परिषद		परिषद		परिषद
को		को		को
खत्म		खत्म		खत्म
करने		कर		कर
संबंधी		संबंधी		संबंधी
कानून		कानून		कानून
को		को		को
संसद		संसद		संसद
में		में		में
पारित		पारित		पारित
कराया		करा		करा
था		था		था
,		COMMA		UUUUUUUUUUUUUU
लेकिन		लेकिन		लेकिन
आज		आज		आज
20		20		१०
साल		साल		साल
बाद		बाद		बाद
एक		एक		एक
बार		बार		बार
फिर		फिर		फिर
भारद्वाज		भारद्वाज		भारद्वाज
ही		ही		ही
संसद		संसद		संसद
में		में		में
इस		यह		यह
विधान		विधान		विधान
परिषद		परिषद		परिषद
की		का		का
बहाली		बहाली		बहाली
को		को		को
लेकर		ले		ले
विधेयक		विधेयक		विधेयक
लेकर		ले		ले
आए		आ		आ
।		।		।
जिसे		जो		जो
वोटिंग		वोटिंग		वोटिंग
के		के		का
बाद		बाद		बाद
पारित		पारित		पारित
कर		कर		कर
दिया		दे		दे
गया		जा		जा
।		।		।
केंद्र		केंद्र		केंद्र
सरकार		सरकार		सरकार
ग्रामीण		ग्रामीण		ग्रामीण
रोजगार		रोजगार		रोजगार
गारंटी		गारंटी		गारंटी
कानून		कानून		कानून
लागू		लागू		लागू
करने		कर		कर
से		से		से
पहले		पहले		पहले
राज्य		राज्य		राज्य
सरकारों		सरकार		सरकार
से		से		से
संपर्क		संपर्क		संपर्क
करने		कर		कर
में		में		में
जुट		जुट		जुट
गई		जा		जा
है		है		है
।		।		।
केंद्रीय		केंद्रीय		केंद्रीय
ग्रामीण		ग्रामीण		ग्रामीण
विकास		विकास		विकास
मंत्रालय		मंत्रालय		मंत्रालय
ने		ने		ने
इस		यह		यह
मसले		मसला		मसला
पर		पर		पर
राज्यों		राज्य		राज्य
से		से		से
विचार		विचार		विचार
-		-		-
विमर्श		विमर्श		विमर्श
के		के		का
लिए		लिए		लिए
२७		२७		२२
सितंबर		सितंबर		सितंबर
को		को		को
राज्यों		राज्य		राज्य
के		का		का
ग्रामीण		ग्रामीण		ग्रामीण
विकास		विकास		विकास
मंत्रियों		मंत्री		मंत्री
की		का		का
बैठक		बैठक		बैठक
बुलाई		बुला		बुलाई
है		है		है
।		।		।
केंद्र		केंद्र		केंद्र
और		और		और
राज्यों		राज्य		राज्य
की		का		का
तैयारी		तैयारी		तैयारी
से		से		से
NULL		null		UUUU
साफ		साफ		साफ
है		है		है
कि		कि		कि
इस		यह		यह
कानून		कानून		कानून
को		को		को
लागू		लागू		लागू
करने		कर		कर
में		में		में
अभी		अभी		अभी
कुछ		कुछ		कुछ
समय		समय		समय
लग		लग		लल
सकता		सक		सक
है		है		है
।		।		।
समाजवादी		समाजवादी		सााजवादी
पार्टी		पार्टी		पार्टी
के		का		का
वरिष्ठ		वरिष्ठ		वरिष्ठ
नेता		नेता		नेता
अमर		अमर		अमर
सिंह		सिंह		सिंह
के		का		का
फोन		फोन		फोन
टैपिंग		टैपिंग		टैपिंग
और		और		और
उनके		वह		वह
आवास		आवास		आवास
पर		पर		पर
हुए		हो		हो
हमले		हमला		हमला
के		का		का
विरोध		विरोध		विरोध
में		में		में
शुक्रवार		शुक्रवार		शुक्रवार
को		को		को
बड़ी		बड़ा		बडी
संख्या		संख्या		संख्या
में		में		में
लोगों		लोग		लोग
ने		ने		ने
कांग्रेस		कांग्रेस		कांग्रेस
के		का		का
विरोध		विरोध		विरोध
में		में		में
प्रदर्शन		प्रदर्शन		प्रदर्शन
किया		कर		कर
।		।		।
अखिल		अखिल		अखिल
भारतीय		भारतीय		भारतीय
क्षत्रिय		क्षत्रिय		क्षत्रिय
महासभा		महासभा		महासभा
के		का		का
बैनर		बैनर		बैनर
तले		तले		तला
जुटे		जुट		जुटा
अनेक		अनेक		अनेक
क्षत्रिय		क्षत्रिय		क्षत्रिय
संगठनों		संगठन		संगठन
ने		ने		ने
जंतर		जंतर		जंतर
-		-		-
मंतर		मंतर		मंतर
पर		पर		पर
धरना		धर		धरना
दिया		दे		दे
।		।		।
प्रदर्शन		प्रदर्शन		प्रदर्शन
में		में		में
बड़ी		बड़ा		बडी
संख्या		संख्या		संख्या
में		में		में
क्षत्राणियाँ		क्षत्राणी		क््््राणियाँ
भी		भी		भी
पगड़ी		पगडी		पगडी
बाँधकर		बाँध		बांधकर
आई		आ		आई
थीं		था		था
।		।		।
इस		यह		यह
मौके		मौका		मौका
पर		पर		पर
राष्ट्रपति		राष्ट्रपति		राष्ट्रपति
को		को		को
ज्ञापन		ज्ञापन		ज्घापन
भी		भी		भी
सौपा		सौप		सौपा
गया		जा		जा
।		।		।
धरने		धरना		धर
में		में		में
शामिल		शामिल		शामिल
होने		हो		हो
के		के		का
लिए		लिए		लिए
दिल्ली		दिल्ली		दिल्ली
के		के		का
अलावा		अलावा		अलावा
उत्तर		उत्तर		उत्तर
प्रदेश		प्रदेश		प्रदेश
के		का		का
विभिन्न		विभिन्न		विभिन्न
जिलों		जिला		जिल
से		से		से
लोग		लोग		लोग
आए		आ		आ
थे		था		था
।		।		।
सत्तारूढ़		सत्तारूढ़		स््तारूछ
यूपीए		यूपीए		यूपीए
सरकार		सरकार		सरकार
को		को		को
बाहर		बाहर		बाहर
से		से		से
समर्थन		समर्थन		समर्थन
दे		दे		दे
रही		रह		रह
मार्क्सवादी		मार्क्सवादी		मा््््सवादी
कम्युनिस्ट		कम्युनिस्ट		क्ययुनिस्ट
पार्टी		पार्टी		पार्टी
(		(		(
माकपा		माकपा		माकपा
)		)		)
ने		ने		ने
भारत		भारत		भारत
की		का		का
विदेश		विदेश		विदेश
नीति		नीति		नीति
को		को		को
बाहरी		बाहरी		बाहरी
दबावों		दबाव		दबाव
से		से		से
स्वतंत्र		स्वतंत्र		स््तंत्र
रखे		रख		रख
जाने		जा		जा
की		का		का
वकालत		वकालत		वकालत
की		कर		का
है		है		है
।		।		।
यूपीए		यूपीए		यूपीए
और		और		और
वाम		वाम		वाम
दलों		दल		दल
की		का		का
समन्वय		समन्वय		समन्वय
समिति		समिति		समिति
की		का		का
महत्वपूर्ण		महत्वपूर्ण		मु््वपूर्ण
बैठक		बैठक		बैठक
सोमवार		सोमवार		सोमवार
को		को		को
संसद		संसद		संसद
के		का		का
शीतकालीन		शीतकालीन		शरतकालीन
सत्र		सत्र		सत्र
से		से		से
ठीक		ठीक		ठीक
दो		दो		दो
दिन		दिन		दिन
पहले		पहले		पहले
होगी		हो		हो
।		।		।
वाम		वाम		वाम
दल		दल		दल
तीखे		तीखा		तीखा
तेवरों		तेवर		तेवर
के		के		का
साथ		साथ		साथ
सरकार		सरकार		सरकार
के		के		का
समक्ष		समक्ष		समक्ष
ईरान		ईरान		ईरान
के		के		का
खिलाफ		खिलाफ		खिलाफ
मतदान		मतदान		मतदान
,		COMMA		UUUUUUUUUUUUUU
राजग		राजग		राजग
शासन		शासन		शासन
के		के		का
दौरान		दौरान		दौरान
तेल		तेल		तेल
सौदे		सौदा		सौदा
और		और		और
महिला		महिला		महिला
आरक्षण		आरक्षण		आरक्षण
के		का		का
मुद्दे		मुद्दा		मुद्दा
उठाएँगे		उठा		उठाँग
।		।		।
सीमा		सीमा		सीमा
सुरक्षा		सुरक्षा		सुरक्षा
बल		बल		बल
(		(		(
बीएसएफ		बीएसएफ		बीएसएफ
)		)		)
और		और		और
बांग्लादेश		बांग्लादेश		बां््लादेश
राइफल्स		राइफल		रागफल्स
(		(		(
बीडीआर		बीडीआर		बीडीआर
)		)		)
सीमा		सीमा		सीमा
के		के		का
पास		पास		पास
संयुक्त		संयुक्त		संयुक्त
गश्त		गश्त		गश्त
पर		पर		पर
राजी		राजी		राजी
हो		हो		हो
गए		जा		जा
हैं		है		है
।		।		।
बीएसएफ		बीएसएफ		बीएसएफ
के		का		का
वरिष्ठ		वरिष्ठ		वरिष्ठ
अधिकारी		अधिकारी		अधिकारी
ने		ने		ने
शनिवार		शनिवार		शनिवार
को		को		को
बताया		बता		बता
कि		कि		कि
प्रस्तावित		प्रस्तावित		प््््तावित
समझौते		समझौता		समझौता
के		के		का
तहत		तहत		तहत
बीएसएफ		बीएसएफ		बीएसएफ
के		का		का
जवान		जवान		जवान
भारतीय		भारतीय		भारतीय
क्षेत्र		क्षेत्र		क्षेत्र
में		में		में
निगरानी		निगरानी		निगरान
करेंगे		कर		कर
जबकि		जबकि		जबकि
बीडीआर		बीडीआर		बीडीआर
जवान		जवान		जवान
अपने		अपना		अपना
क्षेत्र		क्षेत्र		क्षेत्र
में		में		में
NULL		null		UUUU
इस		यह		यह
पर		पर		पर
विस्तृत		विस्तृत		विस्तृत
योजना		योजना		योजना
तैयार		तैयार		तैयार
की		कर		का
जा		जा		जा
रही		रह		रह
है		है		है
।		।		।
यहाँ		यहाँ		यहाँ
बीएसएफ		बीएसएफ		बीएसएफ
के		का		का
असम		असम		असम
,		COMMA		UUUUUUUUUUUUUU
मेघालय		मेघालय		मेघालय
,		COMMA		UUUUUUUUUUUUUU
मणिपुर		मणिपुर		ममिपुर
और		और		और
नागालैंड		नागालैंड		नााालैंड
मुख्यालय		मुख्यालय		मुख्यालय
के		का		का
वरिष्ठ		वरिष्ठ		वरिष्ठ
अधिकारियों		अधिकारी		अधिकारी
ने		ने		ने
बताया		बता		बता
कि		कि		कि
सीमा		सीमा		सीमा
पर		पर		पर
संयुक्त		संयुक्त		संयुक्त
निगरानी		निगरानी		निगरान
का		का		का
काम		काम		काम
जल्द		जल्द		जल्द
ही		ही		ही
शुरू		शुरू		शुरू
हो		हो		हो
जाएगा		जा		जा
।		।		।
सरकार		सरकार		सरकार
ने		ने		ने
प्रतिबंधित		प्रतिबंधित		प्रतिबंधित
उग्रवादी		उग्रवादी		उग्रवादी
संगठन		संगठन		संगठन
यूनाइटेड		यूनाइटेड		यूीाइटड
नेशनल		नेशनल		नेशनल
लिबरेशन		लिबरेशन		लिबरेशन
फ्रंट		फ्रंट		फ्रंट
(		(		(
यूएनएलएफ		यूएनएलएफ		ययसनएलएफ
)		)		)
के		का		का
प्रस्ताव		प्रस्ताव		प्रस्ताव
को		को		को
एक		एक		एक
सिरे		सिरा		सिरा
से		से		से
नकार		नकार		नकार
दिया		दे		दे
है		है		है
।		।		।
इसमें		यह		यह
उसने		वह		वह
मणिपुर		मणिपुर		ममिपुर
को		को		को
भारत		भारत		भारत
के		के		का
साथ		साथ		साथ
रहना		रह		रह
चाहिए		चाहिए		चाहिए
या		या		या
नहीं		नहीं		नहीं
NULL		NULL		UUUU
NULL		NULL		UUUU
इस		यह		यह
बारे		बारे		बारा
में		में		में
जनमत		जनमत		जनमत
-		-		-
संग्रह		संग्रह		संग्रह
की		का		का
सिफारिश		सिफारिश		सिफारिश
की		कर		का
है		है		है
।		।		।
इंफाल		इंफाल		इंफाल
से		से		से
२५		२५		२२
किलोमीटर		किलोमीटर		किलोमीटर
दूर		दूर		दूर
लेइमाखोंग		लेइमाखोंग		लेगमामंग
स्थित		स्थित		स्थित
५७		५७		१
-		-		-
माउंटेन		माउंटेन		माइंटन
डिवीज़न		डिवीज़न		डिवीजन
के		का		का
मुख्यालय		मुख्यालय		मुख्यालय
में		में		में
संवाददाता		संवाददाता		संसाददाता
सम्मेलन		सम्मेलन		सम्मेलन
में		में		में
रक्षामंत्री		रक्षामंत्री		ररर्ामंत्री
प्रणब		प्रणब		प्रणब
मुखर्जी		मुखर्जी		मुखर्जी
ने		ने		ने
यूएनएलएफ		यूएनएलएफ		ययसनएलएफ
के		का		का
प्रस्ताव		प्रस्ताव		प्रस्ताव
को		को		को
नकारते		नकार		नकारत
हुए		हो		हो
कहा		कह		कह
कि		कि		कि
यह		यह		यह
किसी		कोई		कि
भी		भी		भी
तरह		तरह		तरह
से		से		से
संभव		संभव		संभव
नहीं		नहीं		नहीं
है		है		है
।		।		।
उत्तर		उत्तर		उत्तर
भारत		भारत		भारत
के		का		का
कई		कई		क
स्थानों		स्थान		स्थान
में		में		में
बृहस्पतिवार		बृहस्पतिवार		बहृ््पतिवार
की		का		का
सुबह		सुबह		सुबह
तक		तक		तक
भारी		भारी		भारी
वर्षा		वर्षा		वर्षा
रिकॉर्ड		रिकॉर्ड		रिकॉर्ड
की		कर		का
गई		जा		जा
।		।		।
हरियाणा		हरियाणा		हरियाणा
के		का		का
नारायणगढ़		नारायणगढ़		नााायणगठ
में		में		में
सबसे		सबसे		सबसा
अधिक		अधिक		अधिक
वर्षा		वर्षा		वर्षा
८१		८१		१
मिमी		मिमी		मिमी
होने		हो		हो
के		का		का
समाचार		समाचार		समाचार
हैं		है		है
।		।		।
उत्तरांचल		उत्तरांचल		उतततरांचल
के		का		का
रुद्रप्रयाग		रुद्रप्रयाग		रुररर््रयाग
जिले		जिला		जिला
के		का		का
अगस्त		अगस्त		अगस्त
मुनि		मुनि		मुनि
इलाक़े		इलाका		इलाा
में		में		में
भूस्खलन		भूस्खलन		भूस्खलन
की		का		का
वजह		वजह		वजह
से		से		से
भारी		भारी		भारी
नुकसान		नुकसान		नुकसान
पहुँचा		पहुँच		पहुँच
है		है		है
।		।		।
भूस्खलन		भूस्खलन		भूस्खलन
में		में		में
चार		चार		चार
लोगों		लोग		लोग
के		के		का
मरने		मर		मर
की		का		का
आशंका		आशंका		आशंका
है		है		है
और		और		और
१२		१२		१०
घर		घर		घर
क्षतिग्रस्त		क्षतिग्रस्त		क्ककाग्रस्त
हो		हो		हो
गए		जा		जा
हैं		है		है
।		।		।
जबकि		जबकि		जबकि
मुंबई		मुंबई		मुंबई
शहर		शहर		शहर
में		में		में
भी		भी		भी
भारी		भारी		भारी
वर्षा		वर्षा		वर्षा
की		का		का
वजह		वजह		वजह
से		से		से
रेल		रेल		रेल
और		और		और
सड़क		सड़क		सड़क
यातायात		यातायात		यातायात
आंशिक		आंशिक		आंशिक
रूप		रूप		रूप
से		से		से
बाधित		बाधित		बाधित
रहा		रह		रह
।		।		।
देश		देश		देश
का		का		का
एक		एक		एक
तिहाई		तिहाई		तिहाई
हिस्सा		हिस्सा		हिस्सा
सूखे		सूखा		सूखा
की		का		का
चपेट		चपेट		चपेट
में		में		में
आ		आ		आ
चुका		चुक		चुका
है		है		है
।		।		।
इसमें		यह		यह
हिमाचल		हिमाचल		हिमाचल
प्रदेश		प्रदेश		प्रदेश
और		और		और
उत्तरांचल		उत्तरांचल		उतततरांचल
भी		भी		भी
शामिल		शामिल		शामिल
हैं		है		है
जबकि		जबकि		जबकि
पंजाब		पंजाब		पंजाब
,		COMMA		UUUUUUUUUUUUUU
पश्चिमी		पश्चिमी		पश्चिमी
उत्तर		उत्तर		उत्तर
प्रदेश		प्रदेश		प्रदेश
,		COMMA		UUUUUUUUUUUUUU
NULL		null		UUUU
हरियाणा		हरियाणा		हरियाणा
में		में		में
औसत		औसत		आसत
से		से		से
कम		कम		कम
बारिश		बारिश		बारिश
दर्ज		दर्ज		दर्ज
की		कर		का
गई		जा		जा
है		है		है
।		।		।
उत्तरी		उत्तरी		उत्तरी
राज्यों		राज्य		राज्य
में		में		में
जम्मू		जम्मू		जम्मू
कश्मीर		कश्मीर		कश्मीर
और		और		और
पूर्वी		पूर्वी		पूर्वी
उत्तर		उत्तर		उत्तर
प्रदेश		प्रदेश		प्रदेश
में		में		में
ही		ही		ही
ठीक		ठीक		ठीक
-		-		-
ठाक		ठाक		ठाक
बारिश		बारिश		बारिश
हो		हो		हो
पाई		पा		पाई
है		है		है
।		।		।
देश		देश		देश
में		में		में
मानसून		मानसून		मानसून
सीज़न		सीजन		सीजन
