Word		Original_feature		Predicted_feature
رہے		v		v
۔		punc		punc
برطانوی		adj		n
ماڈل		n		n
,		punc		punc
اداکارہ		n		n
ایلزبتھ		n		n
ہرلے		n		n
کو		psp		psp
فی_الحال		adv		adv
کرکٹ		n		n
اور		avy		avy
اپنے		pn		pn
نئے		adj		adj
بوائے		adj		n
فرینڈ		n		n
شین		n		n
وارن		n		n
سے		psp		psp
اتنا		avy		pn
لگاؤ		n		v
اور		avy		avy
انسیت		n		n
ہو		v		v
گئی		v		v
ہے		v		v
کہ		avy		avy
انہوں		pn		pn
نے		psp		psp
کرکٹ		n		n
کے		psp		psp
لئے		psp		psp
برطانیہ		n		n
کی		psp		psp
شاہی		adj		adj
شادی		n		n
کا		psp		psp
تک		avy		psp
نظارہ		n		n
نہیں		avy		avy
کیا		v		v
۔		punc		punc
45		num		num
سالہ		adj		adj
ایلزبتھ		n		n
ہرلے		n		adj
ان		pn		pn
دنوں		n		n
شین		n		n
وارن		n		n
کے		psp		psp
معاشقہ		n		n
مےں		psp		psp
گرفتار		adj		adj
ہےں		v		v
اور		avy		avy
وہ		pn		pn
ہندوستانی		adj		adj
صنعت_کار		adj		adj
شوہر		n		n
ارون		n		n
نائر		n		n
سے		psp		psp
طلاق		n		n
کے		psp		psp
لئے		psp		psp
عدالت		n		n
سے		psp		psp
بھی		avy		avy
رجوع		n		n
ہوئی		v		v
ہیں		v		v
۔		punc		punc
وہ		pn		pn
اپنے		pn		pn
عاشق		adj		adj
شین		n		n
وارن		n		n
کے		psp		psp
ساتھ		nst		nst
کرکٹ		n		n
میچس		n		n
کے		psp		psp
لئے		psp		psp
ہندوستان		n		n
بھر		avy		avy
کا		psp		psp
سفر		n		n
کر		v		v
رہی		v		v
ہیں		v		v
۔		punc		punc
انہوں		pn		pn
نے		psp		psp
اپنے		pn		pn
ٹوئیٹر		n		n
پر		psp		psp
لکھا		v		v
ہے		v		v
کہ		avy		avy
وہ		pn		pn
فی_الحال		adv		adv
کرکٹ		n		n
کی		psp		psp
محبت		n		n
مےں		psp		psp
گرفتار		adj		adj
ہےں		v		v
۔		punc		punc
کرکٹ		n		n
کے		psp		psp
لئے		psp		psp
شاہی		adj		adj
شادی		n		n
کا		psp		psp
نظارہ		n		n
نہیں		avy		avy
کیا		v		v
ہے		v		v
اور		avy		avy
ان		pn		pn
کی		psp		psp
خواہش		n		n
NULL		unk		unk
ہے		v		v
کہ		avy		avy
ٹی		n		n
وی		n		n
پر		psp		psp
اس		pn		pn
شادی		n		n
کو		psp		psp
دوبارہ		adv		adv
پیش		nst		nst
کیا		v		v
جائے		v		v
۔		punc		punc
شین		n		n
وارن		n		n
آئی		n		n
پی		n		n
ایل		n		n
مےں		psp		psp
راجستھان		n		n
رائلس		n		n
کی		psp		psp
قیادت		n		n
کر		v		v
رہے		v		v
ہےں		v		v
اور		avy		avy
اسٹیڈیمس		n		n
مےں		psp		psp
بھی		avy		avy
وہ		pn		pn
ایلزبتھ		n		n
ہرلے		n		n
کے		psp		psp
ساتھ		nst		nst
دیکھے		v		v
جا		v		v
رہے		v		v
ہیں		v		v
۔		punc		punc
اخبارات		n		n
و		avy		avy
ذرائع		n		n
ابلاغ		n		n
کی		psp		psp
ساری		avy		adj
توجہ		n		n
بھی		avy		avy
ان		pn		pn
دونوں		n		num
پر		psp		psp
ہے		v		v
۔		punc		punc
شین		n		n
وارن		n		n
سے		psp		psp
ملنے		v		v
جب		pn		pn
ایلزبتھ		n		n
ہرلے		n		adj
ہندوستان		n		n
پہونچیں		v		v
تو		avy		avy
انہیں		pn		pn
پہلی		num		num
مرتبہ		n		n
کرکٹ		n		n
سے		psp		psp
متعارف		adj		adj
ہونے		v		v
کا		psp		psp
موقع		n		n
ملا		v		v
تھا		v		v
۔		punc		punc
انہوں		pn		pn
نے		psp		psp
بالکل		adv		adv
پہلی		num		num
مرتبہ		n		n
موہالی		n		n
مےں		psp		psp
کرکٹ		n		n
میچ		n		n
دیکھا		v		v
تھا		v		v
NULL		unk		unk
اس		pn		pn
کے		psp		psp
بعد		nst		nst
وہ		pn		pn
بنگلور		n		n
اور		avy		avy
جئے		n		n
پور		n		n
بھی		avy		avy
گئیں		v		v
۔		punc		punc
ہرلے		n		n
نے		psp		psp
کہا		v		v
ہے		v		v
کہ		avy		avy
ہندوستان		n		n
کی		psp		psp
گرمی		n		n
ان		pn		pn
کے		psp		psp
لئے		psp		psp
بہت		avy		avy
زیادہ		adj		avy
اور		avy		avy
ناقابل		adj		adj
برداشت		n		n
ہے		v		v
۔		punc		punc
ملیشیا		n		n
کے		psp		psp
لی		n		n
چون		n		n
وائی		n		n
نیو		n		n
افتتاحی		adj		adj
انڈیا		n		n
اوپن		n		n
سوپر		n		n
سیریز		n		n
بیڈ		n		n
مینٹن		n		n
سنگلز		n		n
خطاب		n		n
جیت		v		v
لیا		v		v
۔		punc		punc
انہوں		pn		pn
نے		psp		psp
نئی		n		adj
دہلی		n		n
مےں		psp		psp
کھیلے		v		v
گئے		v		v
فائنل		adj		n
مقابلہ		n		n
مےں		psp		psp
پیٹر		n		n
گیڈ		n		n
کو		psp		psp
21		num		num
-		punc		punc
12		num		num
,		punc		punc
12		num		num
-		punc		punc
21		num		num
,		punc		punc
NULL		unk		unk
21		num		num
-		punc		punc
15		num		num
سے		psp		psp
شکست		n		n
دے		v		v
دی		v		v
۔		punc		punc
لی		n		n
چونگ		n		n
وائی		n		n
عالمی		adj		adj
سطح		n		n
پر		psp		psp
اول		num		n
نمبر		n		n
رینکنگ		n		n
رکھتے		v		v
ہےں		v		v
اور		avy		avy
انہوں		pn		pn
نے		psp		psp
تیسرے		num		num
سیٹ		n		n
میں		n		psp
34		num		num
سالہ		adj		adj
گیڈ		n		n
کو		psp		psp
شکست		n		n
سے		psp		psp
دوچار		adj		adj
کرتے		v		v
ہوئے		v		v
افتتاحی		adj		adj
خطاب		n		n
جیت		v		v
لیا		v		v
۔		punc		punc
دونوں		num		num
کھلاڑیوں		n		n
نے		psp		psp
سیری		n		avy
فورٹ		n		n
اسپورٹس		n		n
کامپلکس		n		n
مےں		psp		psp
ہوئے		v		v
اس		pn		pn
مقابلہ		n		n
مےں		psp		psp
کانٹے		n		n
کا		psp		psp
مقابلہ		n		n
کیا		v		v
۔		punc		punc
پہلے		num		nst
سیٹ		n		n
مےں		psp		psp
کامیابی		n		n
کے		psp		psp
بعد		nst		nst
چونگ		n		n
وائی		n		n
کو		psp		psp
دوسرے		num		adj
سیٹ		n		n
مےں		psp		psp
شکست		n		n
کا		psp		psp
سامنا		n		n
کرنا		v		v
پڑا		v		v
تاہم		avy		avy
انہوں		pn		pn
نے		psp		psp
تیسرے		num		num
اور		avy		avy
فیصلہ_کن		adj		adj
ٹسٹ		n		n
مےں		psp		psp
زبردست		adj		adj
مزاحمت		n		n
کرتے		v		v
ہوئے		v		v
شاندار		adj		adj
واپسی		n		n
کی		v		psp
اور		avy		avy
مخالف		adj		adj
کھلاڑی		n		n
کو		psp		psp
کوئی		pn		pn
موقع		n		n
دئے		v		v
بغیر		avy		avy
کامیابی		n		n
حاصل		n		n
کر		v		v
لی		v		v
۔		punc		punc
پہلے		num		nst
سیٹ		n		n
مےں		psp		psp
جب		pn		pn
چونگ		n		n
وائی		n		n
نے		psp		psp
سبقت		n		n
حاصل		n		n
کر		v		v
لی		v		v
تھی		v		v
اس		pn		pn
وقت		n		n
بھی		avy		avy
گیڈ		n		n
نے		psp		psp
اچھی		adj		adj
مزاحمت		n		n
کی		v		v
تھی		v		v
تاہم		avy		avy
وہ		pn		pn
زیادہ		avy		avy
مزاحمت		n		n
کرتے		v		v
ہوئے		v		v
سیٹ		n		n
مےں		psp		psp
کامیابی		n		n
حاصل		n		n
نہیں		avy		avy
کر		v		v
سکے		v		v
تھے		v		v
۔		punc		punc
دوسرا		num		num
مقابلہ		n		n
گیڈ		n		n
نے		psp		psp
جیتا		v		v
اور		avy		avy
تیسرے		num		num
سیٹ		n		n
مےں		psp		psp
دونوں		n		num
نے		psp		psp
سخت		adj		adj
جدوجہد		n		n
کی		v		v
لیکن		avy		avy
چونگ		n		n
وائی		n		n
نے		psp		psp
گیڈ		n		n
کی		psp		psp
سرویس		n		n
بریک		v		adj
کی		v		v
اور		avy		avy
اس		pn		pn
کے		psp		psp
بعد		nst		nst
سے		psp		psp
وہ		pn		pn
مسلسل		adv		adv
تین		num		num
پوائنٹ		n		n
حاصل		n		n
کرتے		v		v
ہوئے		v		v
کافی		avy		adj
آگے		nst		nst
نکل		v		v
گئے		v		v
تھے		v		v
۔		punc		punc
خواتین		n		n
کو		psp		psp
NULL		unk		unk
چاہئے		v		v
کہ		avy		avy
وہ		pn		pn
ریاستی		adj		adj
حکومت		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
جاری_کردہ		adj		adj
اسکیمات		n		n
سے		psp		psp
بھرپور		adv		adj
استفادہ		n		n
کریں		v		v
۔		punc		punc
ان		pn		pn
خیالات		n		n
کا		psp		psp
اظہار		n		n
کارپوریٹر		n		n
امجد		n		n
اللہ		n		n
خاں		n		n
خالد		n		n
نے		psp		psp
آج		n		n
چنچل		n		v
گوڑہ		n		n
کمیونٹی		n		n
ہال		n		n
مےں		psp		psp
منعقدہ		adj		adj
دیپم		n		n
اسکیم		n		n
کے		psp		psp
تحت		nst		nst
اجراکردہ		adj		adj
گیاس		n		n
سیلنڈرس		n		n
تقسیم		n		n
تقریب		n		n
سے		psp		psp
کیا		v		v
۔		punc		punc
امجد		n		n
اللہ		n		n
خاں		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
ایم		n		n
بی		n		n
ٹی		n		n
روز		n		n
اول		n		num
سے		psp		psp
ہی		avy		avy
بلا		psp		n
لحاظ		n		n
مذہب		n		n
و		avy		avy
ملت		n		n
عوامی		adj		adj
مسائل		n		n
کی		psp		psp
یکسوئی		n		n
کے		psp		psp
لیے		psp		psp
جدوجہد		n		n
مےں		psp		psp
ہمہ_تن		adv		adj
مصروف		adj		adj
ہے		v		v
۔		punc		punc
چنانچہ		avy		avy
ایم		n		n
بی		n		n
ٹی		n		n
نے		psp		psp
اعظم		n		n
پورہ		n		n
ڈیویژن		n		n
کے		psp		psp
تحت		nst		psp
تمام		avy		adj
خاندانوں		n		n
کو		psp		psp
دیپم		n		n
اسکیم		n		n
سے		psp		psp
استفادہ		n		n
حاصل		n		n
کرنے		v		v
کے		psp		psp
لیے		psp		psp
نہ		avy		avy
صرف		avy		avy
درخواست_گذار		n		adj
خواتین		n		n
کے		psp		psp
فارمس		n		n
کی		psp		psp
خانہ_پری		n		n
کی		v		v
بلکہ		avy		avy
درخواست		n		n
داخل		adj		n
کردہ		adj		n
تمام		avy		avy
خواتین		n		n
کو		psp		psp
دیپم		n		n
اسکیم		n		n
کے		psp		psp
تحت		nst		psp
تقریبا		avy		adj
124		num		num
گیس		n		n
سیلنڈرس		n		n
و		avy		avy
کنکشن		n		n
آڈرس		n		n
کی		psp		psp
کاپیاں		n		adj
تقسیم		n		n
عمل		n		n
مےں		psp		psp
لائی		v		v
گئی		v		v
۔		punc		punc
اس		pn		pn
موقع		n		n
پر		psp		psp
ایس		n		n
ڈی		n		n
سی		n		n
مسٹر		avy		avy
شیخ		n		n
چاند		n		n
کے		psp		psp
علاوہ		psp		psp
مسٹر		avy		avy
وجیندر		n		n
،		punc		punc
سی		n		n
او		n		n
بھی		avy		avy
موجود		adj		adj
تھے		v		v
۔		punc		punc
جبکہ		avy		avy
تقریب		n		n
کی		psp		psp
راست		adj		adj
نگرانی		n		adj
یوتھ		n		n
لیڈر		n		n
ایم		n		n
بی		n		n
ٹی		n		n
الطاف		n		n
نصیب		n		n
خاں		n		n
نے		psp		psp
کی		v		v
جبکہ		avy		avy
مذکورہ		adj		adj
دیپم		n		n
اسکیم		n		n
کے		psp		psp
متعلق		adj		adj
انہوں		pn		pn
نے		psp		psp
متعلقہ		adj		adj
کارپوریٹر		n		n
سے		psp		psp
نمائندگی		n		n
کرتے		v		v
ہوئے		v		v
غریب		adj		adj
خواتین		n		n
کو		psp		psp
گیس		n		n
سیلنڈرس		n		n
کی		psp		psp
تقسیم		n		n
عمل		n		n
مےں		psp		psp
لائی		v		v
اس		pn		pn
موقع		n		n
پر		psp		psp
اسلم		n		n
خاں		n		n
،		punc		punc
NULL		unk		unk
محمد		n		n
لائق		n		n
علی		n		n
بھی		avy		avy
موجود		adj		adj
تھے		v		v
۔		punc		punc
انسٹیٹیوٹ		n		n
فار		n		n
الیکٹرانک		n		n
گورننس		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
پروگرامر		n		n
،		punc		punc
ٹرینی		adj		n
سافٹ_ویر		n		n
انجینئر		n		n
یا		avy		avy
مماثل		n		n
کے		psp		psp
لئے		psp		psp
اےک		num		num
واک_اِن		n		n
انٹرویو		n		n
کا		psp		psp
30		n		n
اپریل		n		n
کو		psp		psp
صبح		n		n
9		num		num
بجے		n		n
بمقام		psp		adv
کیشو		n		n
میموریل		n		n
انسٹی_ٹیوٹ		n		n
آف		n		n
ٹکنالوجی		n		n
متصل		adj		adj
دیپک		n		n
تھیٹر		n		n
لین		n		n
نارائن		n		n
گوڑہ		n		n
اہتمام		n		n
کیا		v		v
جائےگا		v		v
۔		punc		punc
انٹرویو		n		n
کا		psp		psp
یہ		pn		pn
پروگرام		n		n
آئی		n		n
ٹی		n		n
ایم		n		n
این		n		n
سی		n		n
مےں		psp		psp
200		num		num
سے		psp		psp
زائد		avy		adj
جائیدادوں		n		n
کو		psp		psp
پُر		n		adj
کرنے		v		v
کے		psp		psp
لئے		psp		psp
منعقد		adj		adj
کیا		v		v
جا		v		v
رہا		v		v
ہے		v		v
۔		punc		punc
صرف		avy		avy
2011		n		n
ء		n		n
مےں		psp		psp
کامیاب		adj		adj
ہونے		v		v
والے		psp		psp
بی		n		n
ایس		n		n
سی		n		n
کمپیوٹر		n		n
سائنس		n		n
،		punc		punc
میاتھس		n		n
،		punc		punc
اسٹائسٹکس		n		n
،		punc		punc
انفارمیشن		n		n
ٹکنالوجی		n		n
،		punc		punc
الکٹرانکس		n		n
،		punc		punc
الیکٹریکل		n		n
،		punc		punc
فزکس		n		n
یا		avy		avy
کیمسٹری		n		n
کے		psp		psp
طلبہ		n		n
اس		pn		pn
مےں		psp		psp
شرکت		n		n
کے		psp		psp
اہل		adj		n
ہیں		v		v
۔		punc		punc
پاکستانی		adj		adj
ہاکی		n		n
ٹیم		n		n
کے		psp		psp
نئے		adj		adj
کپتان		n		n
محمد		n		n
عمران		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
ان		pn		pn
کی		psp		psp
ٹیم		n		n
5		num		num
تا		psp		psp
15		num		n
مئی		n		n
ملیشیاء		n		n
مےں		psp		psp
ہونے		v		v
والے		psp		psp
اذلان		n		n
شاہ		n		n
ہاکی		n		n
کپ		n		n
جیتنے		v		n
کا		psp		psp
عزم		n		n
رکھتی		v		v
ہے		v		v
۔		punc		punc
سینئر		adj		adj
کھلاڑی		n		n
ذیشان		n		n
اشرف		n		n
کی		psp		psp
جگہ		n		n
سنبھالنے		v		v
والے		psp		psp
عمران		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
ایشین		n		n
گیمس		n		n
مےں		psp		psp
کامیابی		n		n
کے		psp		psp
بعد		nst		nst
سے		psp		psp
پاکستانی		adj		adj
ٹیم		n		n
کے		psp		psp
حوصلے		n		n
بلند		adj		adj
ہےں		v		v
اور		avy		avy
یہ		pn		pn
ٹیم		n		n
اپنی		pn		pn
کامیابیوں		n		n
کا		psp		psp
سلسلہ		n		n
جاری		adj		adj
رکھنا		v		v
چاہتی		v		v
ہے		v		v
۔		punc		punc
اشرف		n		n
کو		psp		psp
اذلان		n		n
شاہ		n		n
ٹورنمنٹ		n		n
کے		psp		psp
لئے		psp		psp
ٹیم		n		n
مےں		psp		psp
شامل		adj		adj
نہیں		avy		avy
کیا		v		v
گیا		v		v
ہے		v		v
۔		punc		punc
انہوں		pn		pn
نے		psp		psp
ملیشیا		n		n
روانگی		n		n
سے		psp		psp
قبل		nst		nst
کہا		v		v
کہ		avy		avy
بحیثیت		psp		adv
مجموعی		adj		adj
ٹیم		n		n
کی		psp		psp
کارکردگی		n		n
مےں		psp		psp
بہتری		n		n
پیدا		adj		adj
ہو		v		v
رہی		v		v
ہے		v		v
اور		avy		avy
انہیں		pn		pn
NULL		unk		unk
یقین		n		n
ہے		v		v
کہ		avy		avy
اس		pn		pn
ٹورنمنٹ		n		n
مےں		psp		psp
ٹیم		n		n
کا		psp		psp
مظاہرہ		n		n
بہترین		adj		adj
رہیگا		v		v
۔		punc		punc
پاکستان		n		n
کا		psp		psp
پہلا		num		num
میچ		n		n
5		n		n
مئی		n		n
کو		psp		psp
نیوزی		n		n
لینڈ		n		n
کے		psp		psp
خلاف		adj		adj
ہوگا		v		v
۔		punc		punc
اس		pn		pn
کے		psp		psp
بعد		nst		nst
اسے		pn		pn
جنوبی		n		n
کوریا		n		n
,		punc		punc
برطانیہ		n		n
,		punc		punc
آسٹریلیا		n		n
اور		avy		avy
ہندوستان		n		n
سے		psp		psp
مقابلہ		n		n
کرنا		v		v
ہے		v		v
جبکہ		avy		avy
14		n		n
مئی		n		n
کو		psp		psp
میزبان		n		n
ملیشیا		n		n
کے		psp		psp
خلاف		adj		adj
اس		pn		pn
کا		psp		psp
میچ		n		n
ہوگا		v		v
۔		punc		punc
گذشتہ		adj		adj
ہفتہ		n		n
پاکستان		n		n
میں		psp		psp
جب		pn		pn
پاکستانی		adj		n
ہاکی		n		n
ٹیم		n		n
کا		psp		psp
انتخاب		n		n
عمل		n		n
مےں		psp		psp
آیا		v		v
تھا		v		v
اس		pn		pn
وقت		n		n
تین		num		num
ایسے		pn		pn
کھلاڑیوں		n		n
کو		psp		psp
بھی		avy		avy
ٹیم		n		n
مےں		psp		psp
جگہ		n		n
دی		v		v
گئی		v		v
جن		pn		pn
کے		psp		psp
تعلق		n		n
سے		psp		psp
شبہ		n		n
تھا		v		v
کہ		avy		avy
وہ		pn		pn
ہندوستان		n		n
مےں		psp		psp
باغی		adj		adj
ہاکی		n		n
لیگ		n		n
مےں		psp		psp
شمولیت		n		n
کے		psp		psp
لئے		psp		psp
تیار		adj		adj
تھے		v		v
۔		punc		punc
سینئر		adj		adj
کھلاڑی		n		n
شکیل		n		n
عباسی		n		n
کو		psp		psp
ٹیم		n		n
کا		psp		psp
نائب		n		n
کپتان		n		n
مقرر		adj		adj
کیا		v		v
گیا		v		v
ہے		v		v
جبکہ		avy		avy
شکیل		n		n
کے		psp		psp
علاوہ		psp		psp
ریحان		n		n
بٹ		n		n
اور		avy		avy
وسیم		n		n
احمد		n		n
کو		psp		psp
ٹیم		n		n
سے		psp		psp
اخراج		n		n
کا		psp		psp
شبہ		n		n
تھا		v		v
کیونکہ		avy		avy
ان		pn		pn
کے		psp		psp
تعلق		n		n
سے		psp		psp
اطلاعات		n		n
مےں		psp		psp
کہا		v		v
گیا		v		v
تھا		v		v
کہ		avy		avy
ان		pn		pn
تینوں		n		num
کو		psp		psp
ہندوستانی		adj		adj
ٹیم		n		n
مےں		psp		psp
باغی		adj		adj
لیگ		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
کھیلنے		v		v
کے		psp		psp
لیے		psp		psp
تیار		adj		adj
کر		v		v
لیا		v		v
گیا		v		v
ہے		v		v
تاہم		avy		avy
پاکستان		adj		n
ہاکی		n		n
فیڈریشن		n		n
کے		psp		psp
سکریٹری		n		n
مسٹر		avy		avy
آصف		n		n
باجوا		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
ان		pn		pn
تینوں		n		num
ہی		avy		avy
کھلاڑیوں		n		n
نے		psp		psp
پاکستان		n		n
ہاکی		n		n
فیڈریشن		n		n
کو		psp		psp
تیقن		n		n
دیا		v		v
ہے		v		v
کہ		avy		avy
وہ		pn		pn
باغی		adj		adj
لیگ		n		n
مےں		psp		psp
شامل		adj		adj
نہیں		avy		avy
ہونگے		v		v
NULL		unk		unk
اس		pn		pn
کے		psp		psp
بعد		nst		nst
انہیں		pn		pn
قومی		adj		adj
ٹیم		n		n
مےں		psp		psp
شامل		adj		adj
کر		v		v
لیا		v		v
گیا		v		v
ہے		v		v
۔		punc		punc
اس		pn		pn
کے		psp		psp
علاوہ		psp		psp
پنالٹی		n		n
کارنر		null		n
اسپیشلسٹ		n		n
سہیل		n		n
عباس		n		n
کو		psp		psp
بھی		avy		avy
ٹیم		n		n
مےں		psp		psp
شامل		adj		adj
کیا		v		v
گیا		v		v
ہے		v		v
تاہم		avy		avy
انہیں		pn		pn
قیادت		n		n
نہیں		avy		avy
سونپی		v		v
گئی		v		v
ہے		v		v
۔		punc		punc
ذیشان		n		n
اشرف		n		n
نے		psp		psp
خود		pn		pn
ہی		avy		avy
پہلے		adv		nst
NULL		unk		unk
واضح		adj		adj
کر		v		v
دیا		v		v
تھا		v		v
کہ		avy		avy
وہ		pn		pn
اذلان		n		n
شاہ		n		n
ہاکی		n		n
کپ		n		n
کے		psp		psp
لئے		psp		psp
دستیاب		adj		adj
نہیں		avy		avy
رہیں_گے		v		v
۔		punc		punc
اذلان		n		n
شاہ		n		n
کپ		n		n
کے		psp		psp
لئے		psp		psp
منتخبہ		adj		adj
ٹیم		n		n
مےں		psp		psp
عمران		n		n
شاہ		n		n
,		punc		punc
فرید		n		n
احمد		n		n
,		punc		punc
کاشف		n		n
شاہ		n		n
,		punc		punc
محمد		n		n
توصیف		n		n
,		punc		punc
ریحان		n		n
بٹ		n		n
,		punc		punc
وقاص		n		n
اکبر		n		n
,		punc		punc
محمد		n		n
زبیر		n		n
,		punc		punc
عمر		n		n
بھوٹا		n		n
,		punc		punc
محمد		n		n
راشد		n		n
,		punc		punc
حسین		n		n
خان		n		n
اور		avy		avy
محمد		n		n
عمران		n		n
جونئیر		n		n
بھی		avy		avy
شامل		adj		adj
ہیں		v		v
۔		punc		punc
سابق		adj		adj
پاکستانی		adj		adj
کرکٹ		n		n
کپتان		n		n
راشد		n		n
لطیف		n		n
نے		psp		psp
سابق		adj		adj
سری_لنکن		adj		adv
کپتان		n		n
ہاشن		n		n
تلک		n		n
رتنے		n		n
کے		psp		psp
اس		pn		pn
ادعا		n		n
کی		psp		psp
تائید		n		n
کی		v		v
ہے		v		v
کہ		avy		avy
سری_لنکائی		adj		adj
کرکٹ		n		n
ٹیم		n		n
گذشتہ		adj		adj
تقریباً		avy		adv
دو		num		num
دہوں		n		n
سے		psp		psp
میچ		n		n
فکسنگ		n		n
مےں		psp		psp
ملوث		adj		adj
ہے		v		v
۔		punc		punc
یہ		pn		pn
آج		n		n
بھی		avy		avy
کینسر		n		n
کی		psp		psp
طرح		n		n
پھیل		v		v
رہی		v		v
ہے		v		v
۔		punc		punc
ان		pn		pn
کا		psp		psp
کہنا		v		v
ہے		v		v
کہ		avy		avy
انہیں		pn		pn
NULL		unk		unk
امید		n		n
ہے		v		v
کہ		avy		avy
جب		pn		pn
ہاشن		n		n
تلک		n		n
رتنے		n		adj
میچ		n		n
فکسنگ		n		n
کے		psp		psp
تعلق		n		n
سے		psp		psp
پردے		n		n
فاش		adj		n
کریں_گے		v		v
تو		avy		avy
مزید		avy		adj
بڑے		adj		adj
کھلاڑیوں		n		n
کے		psp		psp
نام		n		n
سامنے		nst		nst
آئیں_گے		v		v
۔		punc		punc
لطیف		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
وہ		pn		pn
تلک		n		n
رتنے		n		n
کو		psp		psp
شخصی		adj		adj
طور		n		n
پر		psp		psp
جانتے		v		v
ہیں		v		v
۔		punc		punc
انہوں		pn		pn
(		punc		punc
تلک		n		n
رتنے		n		n
)		punc		punc
نے		psp		psp
1993		num		n
-		punc		punc
94		num		n
مےں		psp		psp
بھی		avy		avy
اس		pn		pn
تعلق		n		n
سے		psp		psp
ان		pn		pn
سے		psp		psp
کچھ		pn		avy
کہا		v		v
تھا		v		v
۔		punc		punc
جہاں		pn		pn
تک		psp		psp
ذیلی		adj		adj
براعظم		n		n
کا		psp		psp
سوال		n		n
ہے		v		v
NULL		unk		unk
یہاں		pn		pn
کے		psp		psp
کھلاڑیوں		n		n
کو		psp		psp
تلک		n		n
رتنے		n		v
سے		psp		psp
زیادہ		avy		avy
کوئی		pn		pn
نہیں		avy		avy
جانتا		v		v
اور		avy		avy
اگر		avy		avy
وہ		pn		pn
حقائق		n		n
کو		psp		psp
بےنقاب		adj		adj
کریں_گے		v		v
تو		avy		avy
ہندوستان		n		n
,		punc		punc
پاکستان		n		n
اور		avy		avy
سری		n		n
لنکا		n		n
کے		psp		psp
کئی		avy		avy
سابق		adj		adj
کرکٹرس		n		n
بےنقاب		adj		adj
ہو		v		v
جائیں_گے		v		v
اور		avy		avy
ان		pn		pn
کے		psp		psp
نام		n		n
سامنے		nst		nst
آ		v		v
جائیں_گے		v		v
۔		punc		punc
راشد		n		n
لطیف		n		n
نے		psp		psp
جو		pn		pn
سابق		adj		adj
ٹسٹ		n		n
وکٹ		n		n
کیپر		n		n
بھی		avy		avy
ہےں		v		v
,		punc		punc
کہا		v		v
کہ		avy		avy
جہاں		pn		pn
تک		psp		psp
وہ		pn		pn
جانتے		v		v
ہےں		v		v
ان		pn		pn
کے		psp		psp
خیال		n		n
مےں		psp		psp
تلک		n		n
رتنے		n		n
اس		pn		pn
تعلق		n		n
سے		psp		psp
اپنے		pn		pn
عزم		n		n
کا		psp		psp
احترام		n		n
کریں_گے		v		v
اور		avy		avy
اگر		avy		avy
وہ		pn		pn
حقائق		n		n
کا		psp		psp
انکشاف		n		n
کرتے		v		v
ہےں		v		v
تو		avy		avy
یہ		pn		pn
ذیلی		adj		adj
براعظم		n		n
کے		psp		psp
کچھ		avy		avy
کھلاڑیوں		n		n
کے		psp		psp
لئے		psp		psp
انتہائی		avy		avy
تباہ_کن		adj		adj
ہوگا		v		v
تاہم		avy		avy
اگر		avy		avy
کوئی		pn		pn
معاملت		n		n
کر		v		v
لی		v		v
جاتی		v		v
ہے		v		v
تو		avy		avy
پھر		adv		adv
سب		pn		pn
کچھ		pn		avy
پوشیدہ		adj		adj
رہ		v		v
سکتا		v		v
ہے		v		v
۔		punc		punc
گذشتہ		adj		adj
ہفتے		n		n
اےک		num		num
انٹرویو		n		n
مےں		psp		psp
تلک		n		n
رتنے		n		v
نے		psp		psp
اعتراف		n		n
کیا		v		v
تھا		v		v
کہ		avy		avy
سری		n		n
لنکا		n		n
کی		psp		psp
ٹیم		n		n
1992		num		n
سے		psp		psp
میچ		n		n
فکسنگ		n		n
مےں		psp		psp
ملوث		adj		adj
ہے		v		v
۔		punc		punc
سری		n		n
لنکا		n		n
کے		psp		psp
لئے		psp		psp
83		num		num
ٹسٹ		n		n
اور		avy		avy
200		num		num
ونڈے		n		n
میچس		n		n
کھیلنے		v		v
والے		psp		psp
تلک		n		n
رتنے		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
وہ		pn		pn
اپنے		pn		pn
الزامات		n		n
کو		psp		psp
درست		adj		adj
ثابت		adj		adj
کرنے		v		v
تیار		adj		adj
ہےں		v		v
اور		avy		avy
جو		pn		pn
لوگ		n		n
ملوث		adj		adj
ہےں		v		v
ان		pn		pn
کے		psp		psp
ناموں		n		n
کا		psp		psp
بھی		avy		avy
انکشاف		n		n
کریں_گے		v		v
۔		punc		punc
انٹرویو		n		n
کے		psp		psp
دوران		nst		nst
تلک		n		n
رتنے		n		n
کا		psp		psp
کہنا		v		v
تھا		v		v
کہ		avy		avy
میچ		n		n
فکسنگ		n		n
ایسی		pn		pn
چیز		n		n
ہے		v		v
جو		pn		pn
سری		n		n
لنکا		n		n
کرکٹ		n		n
مےں		psp		psp
کچھ		avy		avy
عرصہ		n		n
